wosdept,realdept
" Ames, IA USA; [Wang, Leyi; Maddox, Carol; DeShambo, Vanessa] Univ Illinois, Coll Vet Med, Vet Diagnost Lab, Chicago, IL USA; [Hendrix, Kenitra; Lubelski, Debra] Indiana Anim Dis Diagnost Lab, W Lafayette, IN USA; [Burklund, Amy; Lubbers, Brian] Kansas State Univ, Manhattan, KS 66506 USA; [Reed, Debbie; Jenkins, Tracie] Murray State Univ, Breathitt Vet Ctr, Murray, KY 42071 USA; [Erol, Erdal; Patel, Mukeshbhai; Locke, Stephan; Fortner, Jordan] Univ Kentucky, Lexington, KY USA; [Peak, Laura; Balasuriya, Udeni] Louisiana State Univ, Baton Rouge, LA 70803 USA; [Mani, Rinosh; Kettler, Niesa] Michigan State Univ, E Lansing, MI 48824 USA; [Olsen, Karen] Univ Minnesota, Vet Diagnost Lab, Minneapolis, MN USA; [Zhang, Shuping; Shen, Zhenyu] Univ Missouri, Vet Med Diagnost Lab, Columbia, MO USA; [Landinez, Martha Pulido; Thornton, Jay Kay] Mississippi State Univ, Vet Res & Diagnost Lab Syst, Mississippi State, MS 39762 USA; [Thachil, Anil] North Carolina Vet Diagnost Lab Syst, Raleigh, NC USA; [Byrd, Melissa; Jacob, Megan] North Carolina State Univ, Raleigh, NC USA; [Krogh, Darlene; Webb, Brett; Schaan, Lynn] North Dakota State Univ, Vet Diagnost Lab, Fargo, ND USA; [Patil, Amar; Dasgupta, Sarmila; Mann, Shannon] New Jersey Dept Agr, Anim Hlth Diagnost Lab, Trenton, NJ USA; [Goodman, Laura B.; Franklin-Guild, Rebecca June; Anderson, Renee R.; Mitchell, Patrick K.; Aprea, Missy; Cronk, Brittany D.] Cornell Univ, Coll Vet Med, Ithaca, NY 14853 USA; [Cui, Jing; Jurkovic, Dominika; Prarat, Melanie; Zhang, Yan; Shiplett, Katherine] Ohio Anim Dis Diagnost Lab, Reynoldsburg, OH USA; [Campos, Dubra Diaz; Rubio, Joany Van Balen] Ohio State Univ, Coll Vet Med, Dept Vet Clin Sci, Columbus, OH 43210 USA; [Ramanchandran, Akhilesh; Talent, Scott] Oklahoma State Univ, Coll Vet Med, Oklahoma Anim Dis Diagnost Laboraotry, Stillwater, OK 74078 USA; [Tewari, Deepanker; Thirumalapura, Nagaraja] Penn Dept Agr, PA Vet Lab, Harrisburg, PA USA; [Kelly, Donna; Barnhart, Denise; Hall, Lacey] Univ Penn, New Bolton Ctr, Philadelphia, PA 19104 USA; [Rankin, Shelley; Dietrich, Jaclyn; Cole, Stephen] Univ Penn, Ryan Vet Hosp, Philadelphia, PA 19104 USA; [Scaria, Joy; Antony, Linto] South Dakota State Univ, Anim Dis Res & Diagnost Lab, Brookings, SD 57007 USA; [Lawhon, Sara D.; Wu, Jing] Texas A&M Univ, Coll Vet Med & Biomed Sci, Dept Vet Pathobiol, College Stn, TX 77843 USA; [McCoy, Christine; Dietz, Kelly] Virginia Dept Agr & Consumer Serv, Lynchburg Reg Anim Hlth Lab, Richmond, VA USA; [Wolking, Rebecca; Alexander, Trevor; Burbick, Claire] Washington State Univ, Pullman, WA 99164 USA",No Data
" Ames, IA USA; [Ullah, Hemayat] Howard Univ, Washington, DC 20059 USA; [Baxter, Ivan; Woodford-Thomas, Terry] Danforth Plant Sci Ctr, St Louis, MO USA; [Sierra-Cajas, Kimberly; Yadegari, Ramin] Univ Arizona, Tucson, AZ USA; [Elliott, Kiona; Haswell, Elizabeth S.; May, Victoria] Washington Univ, St Louis, MO USA; [Zavala, Maria Elena] Calif State Univ Northridge, Northridge, CA 91330 USA; [Wildermuth, Mary; Lemaux, Peggy G.] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Williams, Mary] Amer Soc Plant Biologists, Glasgow, Lanark, Scotland; [Ayalew, Mentewab] Spelman Coll, Atlanta, GA 30314 USA; [Henkhaus, Natalie] Boyce Thompson Inst Plant Res, Ithaca, NY USA; [Prunet, Nathanael] Univ Calif Los Angeles, Los Angeles, CA USA; [Amasino, Rick] Univ Wisconsin, Madison, WI USA; [Hangarter, Roger; Innes, Roger] Indiana Univ, Bloomington, IN USA; [Sun, Ying] Stanford Univ, Las Vegas, NV USA; [Dinneny, Jose R.] Stanford Univ, Dept Biol, Stanford, CA 94305 USA",No Data
"[Tsuji, Fumika; Sakuda, Atsushi; Tatsumisago, Masahiro; Hayashi, Akitoshi] Osaka Prefecture Univ, Grad Sch Engn, Dept Appl Chem, Naka Ku, Sakai, Osaka 5998531, Japan; [Hoh, Kah Loong; Kim, Kwang Hyun; Martin, Steve W.] Iowa State Univ Sci & Technol, Dept Mat Sci & Engn",No Data
 Ames Lab,Ames Laboratory 
Software Engineering,Software Engineering
 Dept Econ,Economics
 Dept Human Dev & Family Studies,Human Development and Family Studies
" Coll Vet Med, Dept Biomed Sci, Syst Modeling & Reverse Translat Pharmacol",Biomedical Sciences
Ames Laboratory ,Ames Laboratory 
 Greenlee Sch Journalism & Commun,Greenlee School of Journalism and Communication
" Dept Math, 411 Morrill Rd",Mathematics
" Dept Agron, Agron Hall",Agronomy
" Heartland Assays, Res Pk",Research Park
 Dept Comp Sci,Computer Science
 Dept Comp Sci,Computer Science
 Dept Econ,Economics
Ames Laboratory of US DOE,Ames Laboratory 
" Dept Biomed Sci, SMART Pharmacol",Biomedical Sciences
" Ivy Coll Business, Dept Finance, 2333 Gerdin Business Bldg",Finance
" Ctr Agr & Rural Dev CARD, 478C Heady Hall,518 Farm House Lane",Center for Agricultural and Rural Development
" Ames, IA 50011 USA; [Orazem, Peter F.; Vodopivec, Milan] IZA Inst Lab Econ, Schaumburg Lippe St 5-9, D-53113 Bonn, Germany",Economics
 Coll Vet Med,College of Veterinary Medicine
" Dept Elect & Comp Engn, Coover Hall,Osborn Dr",Electrical and Computer Engineering
" Ames, IA USA; [Van Der Pol, Barbara; Dixon, Paula] Univ Alabama Birmingham, Birmingham, AL USA",No Data
" Dept Civil Construct & Environm Engn, Inst Transportat","Civil, Construction and Environmental Engineering "
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
Ames Laboratory ,Ames Laboratory 
Ames Laboratory of US DOE,Ames Laboratory 
Materials Science and Engineering,Materials Science and Engineering
 Dept Econ,Economics
Environmental Science (LAS),Environmental Science (LAS)
Information Systems and Business Analytics,Information Systems
" Dept Apparel Events & Hospitality Management, 1084B LeBaron Hall","Apparel, Events, and Hospitality Management"
" Dept English, Appl Linguist",English
 Partnerships Prevent Sci Inst,No Data
Pre-Business,Pre-Business
 Ctr Crops Utilizat Res,Center For Crops Utilization
" Coll Liberal Arts & Sci, Dept Stat",Statistics
" Dept Stat, 2438 Osborn Dr",Statistics
Ames Laboratory ,Ames Laboratory 
Materials Science and Engineering,Materials Science and Engineering
" Dept Nat Resource Ecol & Management, 339 Sci Hall II",Natural Resource Ecology and Management
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Dept Ecol Evolut & Organismal Biol, 251 Bessey Hall","Ecology, Evolution & Organismal Biol"
 Dept Comp Sci,Computer Science
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
Ames Laboratory of US DOE,Ames Laboratory 
 Dept Econ,Economics
 Rural Sociol,Sociology and Criminal Justice
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
" Ames, IA USA; [Miller, David A. W.] Penn State Univ, State Coll, PA USA",No Data
 Dept Elect Engn,Electrical and Computer Engineering
" Dept Geol & Atmospher Sci, 253 Sci 1",Geological and Atmospheric Sciences
 Dept Comp Sci,Computer Science
 Dep Nat Resource Ecol & Management,Natural Resource Ecology and Management
 Dept Community & Reg Planning,Community and Regional Planning
" Ames, IA 50011 USA; [Kirtley, J. R.] Kirtleyscientific, Pacific Grove, CA 93950 USA",No Data
" Ivy Coll Business, Dept Mkt, 2350 Gerdin Business Bldg",Marketing
" Dept Sociol & Criminal Justice, 203A East Hall",Sociology and Criminal Justice
" 31 MacKay Hall,Osborn Dr",No Data
 Coll Vet Med,College of Veterinary Medicine
" Dept Chem & Biol Engn, NSF Engn Res Ctr Biorenewable Chem",Chemical & Biological Engineering
 Coll Vet Med,College of Veterinary Medicine
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
Ames Laboratory ,Ames Laboratory 
" Dept Mech Engn, 2025 Black Engn Bldg",Mechanical Engineering
 Kinesiol Dept,Kinesiology
" Dept Elect & Comp Engn, 2520 Osborn Dr",Electrical and Computer Engineering
 Ivy Coll Business,Ivy College of Business
" Sch Educ, Dept Stat",Statistics
 Ivy Coll Business,Ivy College of Business
" Dept Vet Clin Sci, Coll Vet Med",Veterinary Clinical Sciences
" Dept Food Sci & Human Nutr, 2577 Food Sci Bldg",Food Science & Human Nutrition
" Dept Mech Engn, 2529 Union Dr",Mechanical Engineering
" Dept Vet Diagnost & Prod Anim Med, Lloyd Vet Med Ctr 2203",Veterinary Diagnostic and Production Animal Medicine
 Kinesiol Dept,Kinesiology
" Human Dev & Family Studies & Fac Associate, Gerontol Program",Human Development and Family Studies
" Coll Vet Med, Dept Vet Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
" Dept Anim Sci, 2255 Kildee Hall",Animal Science
 Coll Business,Ivy College of Business
 Coll Liberal Arts & Sci,College of Liberal Arts and Sciences
Finance,Finance
Ames Laboratory ,Ames Laboratory 
" Dept Math, 411 Morrill Rd",Mathematics
" Coll Human Sci, Apparel Events & Hospitality Management Dept","Apparel, Events, and Hospitality Management"
" Ames, IA USA; [Clingan-Siverly, Sam] Univ Iowa, Iowa City, IA USA",No Data
" Dept Ecol Evolut & Organismal Biol, 251 Bessey Hall","Ecology, Evolution & Organismal Biol"
 Seed Sci Ctr,Seed Science Center
 Dept Human Dev & Family Studies,Human Development and Family Studies
" Dept Apparel Events & Hospitality Management, 17 MacKay Hall,2302 Osborn Dr","Apparel, Events, and Hospitality Management"
" Ames, IA USA; [Ortega-Pacheco, Antonio] Univ Autonoma Yucatan, Xmatkuil, Mexico; [Suzan, Gerardo] Univ Nacl Autonoma Mexico, Mexico City, DF, Mexico",No Data
 Dept Human Dev & Family Studies,Human Development and Family Studies
" Dept Entomol, 339 Sci Hall 2,2310 Pammel Dr",Entomology
" Food Sci & Human Nutr, 2302 Osborn Dr",Food Science & Human Nutrition
Undeclared,Undeclared
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
 Mat Sci & Engn,Materials Science and Engineering
Ames Laboratory ,Ames Laboratory 
" Ames, IA USA; [Vasilakopoulou, Christina] Univ Patras, Patras, Greece",No Data
" Inst Transportat, 2711 S Loop Dr",Institute for Transportation
Ames Laboratory of US DOE,Ames Laboratory 
" Liberal Arts & Sci, Iowa City, IA USA; [Bleck, Jaimie] Univ Notre Dame, Polit Sci, Notre Dame, IN 46556 USA",No Data
 Elect & Comp Engn Dept,Electrical and Computer Engineering
 Elect & Comp Engn,Electrical and Computer Engineering
Ames Laboratory of US DOE,Ames Laboratory 
" Egg Ind Ctr, 1029 N Univ Blvd",Egg Industry Center
" Bridge Engn Ctr, Inst Transportat",Institute for Transportation
 North Cent Reg Ctr Rural Dev,No Data
" Coll Vet Med, Dept Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
" Dept Civil Construct & Environm Engn, Iowa City, IA 50011 USA; [Shah, Surendra P.] Univ Texas Arlington, Ctr Adv Construct Mat, Arlington, TX 76019 USA",No Data
" Debbie & Jerry Ivy Coll Business, Dept Informat Syst & Business Analyt",Information Systems
Ames Laboratory of US DOE,Ames Laboratory 
 Sociol & Agr & Life Sci,Sociology and Criminal Justice
" Dept Civil Construct & Environm Engn, 813 Bissell Rd","Civil, Construction and Environmental Engineering "
" Ames, IA USA; [Diamond, Howard] NOAA, Air Resources Lab, College Pk, MD USA",No Data
" Manhattan, KS USA",No Data
Community & Regional Planning,Community and Regional Planning
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Coll Vet Med, Dept Vet Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
" Dept Agron, 716 Farm House Lane",Agronomy
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Dept Agron, 716 Farm House Lane",Agronomy
 Program Bioinformat & Computat Biol,Bioinformatics & Computational Biology
Finance,Finance
" Ames, IA 50011 USA; [Rocha, Tomas] Univ Washington, Seattle, WA 98195 USA; [Kruse, Marc] Univ Winnipeg, Winnipeg, MB, Canada",No Data
" Ivy Coll Business, Dept Accounting",Accounting
 Sociol & Criminal Justice,Sociology and Criminal Justice
" Coll Engn, Dept Aerosp Engn",Aerospace Engineering
" Dept Chem, 1605 Gilman Hall",Chemistry
" Ames, IA USA; [Majumdar, Priyama] Univ Warwick, Coventry, W Midlands, England",No Data
" Sch Educ, Iowa City, IA USA; [Cunningham, Kelly J.] Univ Virginia, Engn Grad Writing Lab, Sch Engn & Appl Sci, Charlottesville, VA 22903 USA",No Data
 Community & Reg Planning,Community and Regional Planning
Chemical and Biological Engineering,Chemical and Biological Engineering
" Dept Agr & Biosyst Engn, Water Qual Res Lab, 3358 Elings Hall",Agricultural and Biosystems Engineering
" Iowa Ctr Adv Neurotoxicol, Dept Biomed Sci, Parkinson Disorders Res Lab",Biomedical Sciences
 US Dept Energy,Ames Laboratory 
 Ivy Coll Business,Ivy College of Business
" Egg Ind Ctr, 1029 N Univ Blvd",Egg Industry Center
" 347 Durham,613 Morrill Rd",No Data
Ames Laboratory of US DOE,Ames Laboratory 
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
 Dept Econ,Economics
 Roy J Carver Dept Biophys Biochem & Mol Biol,"Biochemistry, Biophysics and Molecular Biology"
Campus Dining Services,Campus Dining Services
" Dept Kinesiol, Coll Human Sci",Kinesiology
" Coll Vet Med, Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Ames, IA 50011 USA; [Alaviani, Seyyed Shaho] Clemson Univ, Dept Mech Engn, Clemson, SC 29634 USA; [Elia, Nicola] Univ Minnesota, Dept Elect & Comp Engn, Minneapolis, MN 55455 USA",Mechanical Engineering
" Dept Psychol, 1347 Lagomarcino Hall,901 Stange Rd",Psychology
" 31 MacKay Hall,2302 Osborn Dr",No Data
" Dept Kinesiol, 534 Wallace Rd,103n Forker",Kinesiology
" Dept Agr & Biosyst Engn, 3348 Elings Hall",Agricultural and Biosystems Engineering
 Dept Comp Sci,Computer Science
Materials Science and Engineering,Materials Science and Engineering
 701 Morrill Rd,No Data
" Civil Construct & Environm Engn, 394 Town Engn,813 Bissell Rd","Civil, Construction and Environmental Engineering "
 Appl Linguist & Technol Program,English
" Ames, IA 50011 USA; [Garimella, Srinivas] Georgia Inst Technol, George W Woodruff Sch Mech Engn, ASME, Atlanta, GA 30332 USA",No Data
 Ivy Coll Business,Ivy College of Business
Ames Laboratory of US DOE,Ames Laboratory 
" Dept Organismal Biol & Entomol, 251 Bessey Hall","Ecology, Evolution, and Organismal Biology"
" Ames, IA USA; [Olson, Eric D.] Metropolitan State Univ Denver, Denver, CO 80204 USA",No Data
" Ames Lab, Dept Chem, 2416 Pammel Dr",Chemistry
 Dept Econ,Economics
" Ivy Coll Business, 3115 Gerdin Business Bldg",Ivy College of Business
" Ames, IA 50011 USA; [Denolf, Kristof; Blott, Michaela; Lo, Jack; Halder, Lisa; Vissers, Kees] Xilinx Res Labs, San Jose, CA USA; [Denolf, Kristof; Blott, Michaela; Lo, Jack; Halder, Lisa; Vissers, Kees] Xilinx Res Labs, Dublin, Ireland; [Khodamoradi, Alireza] Univ Calif San Diego, San Diego, CA USA",No Data
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
 Dept Comp Sci,Computer Science
 Dept Comp Sci,Computer Science
" Ames, IA USA; [Katsiyannis, Antonis] Clemson Univ, Clemson, SC USA",No Data
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Coll Human Sci, Dept Kinesiol",Kinesiology
" Ames, IA 50011 USA; [Schenck, Hal] Auburn Univ, Auburn, AL 36830 USA; [Stillman, Mike] Cornell Univ, Dept Math, Ithaca, NY 14850 USA",No Data
" Ames, IA USA; [Tao, Jing] Univ Washington, Seattle, WA 98195 USA; [Zhou, Xiao-Hua] Peking Univ, Beijing 100871, Peoples R China",No Data
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
" Dept Chem, Biosci Innovat Postdoctoral Fellowship",Chemistry
 Dept Vet Pathol,Veterinary Pathology
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
Finance,Finance
 Dept Comp Sci,Computer Science
" Dept Vet Clin Sci, Coll Vet Med",Veterinary Clinical Sciences
Biotechnology,Biotechnology
 Genome Informat Facil,Molecular Biology
Finance,Finance
" Egg Ind Ctr, 1029 N Univ Blvd",Egg Industry Center
" Ames, IA USA; [Ortega, Elika] Univ Colorado Boulder, Boulder, CO USA",No Data
" Ames, IA USA; [Patricola, Christina M.] Lawrence Berkeley Natl Lab, Berkeley, CA USA",No Data
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
Human Sciences Administration,Human Sciences
" Dept Math, 411 Morrill Rd",Mathematics
" Dept Supply Chain Management, 2167 Union Dr",Supply Chain Management
" Ames, IA 50011 USA; [Li, Xinyi] Clemson Univ, Clemson, SC USA; [Yu, Shan] Univ Virginia, Charlottesville, VA USA",No Data
" Dept Kinesiol, Barbara E Forker Bldg,Rm 103G,534 Wallace Rd",Kinesiology
" Dept Civil Construct & Environm Engn, 813 Bissell Rd","Civil, Construction and Environmental Engineering "
" Dept Entomol, 1344 ATRB,2213 Pammel Dr",Entomology
Ames Laboratory of US DOE,Ames Laboratory 
 US DOE,Ames Laboratory 
 Greenlee Sch Journalism & Commun,Greenlee School of Journalism and Communication
" Coll Engn, Iowa City, IA USA",No Data
 Apparel Events & Hospitality Management,"Apparel, Events, and Hospitality Management"
" Ames, IA 50011 USA; [Li, Jianwei] Coventry Univ, Inst Future Transport & Cities, Ctr Adv Low Carbon Prop Syst, Coventry, W Midlands, England",No Data
Ames Laboratory ,Ames Laboratory 
"[Mathew, Ansuja Pulickal; Park, In-Kyu] Chonnam Natl Univ, Dept Biomed Sci, Med Sch, Gwangju, South Korea; [Mathew, Ansuja Pulickal; Park, In-Kyu] Chonnam Natl Univ, BioMed Sci Grad Program BMSGP, Hwasun, South Korea; [Uthaman, Saji] Chungnam Natl Univ, Dept Polymer Sci & Engn, Daejeon, South Korea; [Bae, Eun Hui] Chonnam Natl Univ, Internal Med, Med Sch, Gwangju, South Korea; [Lee, Jae Young] Gwangju Inst Sci & Engn, Sch Mat Sci & Engn, Gwangju, South Korea",No Data
 Coll Business,Ivy College of Business
 CP Tech Ctr,No Data
Ames Laboratory ,Ames Laboratory 
" Dept Biomed Sci, Coll Vet Med, 1800 Christensen",Biomedical Sciences
" Dept Apparel Events & Hospitality Management, Coll Human Sci","Apparel, Events, and Hospitality Management"
" Ames, IA 50011 USA; [Jang, Chang Woon] NASA, KBR",No Data
" Dept Human Dev & Family Studies, Iowa City, CA USA; [Lustig, Robert H.] Univ Calif San Francisco, Sch Med, Div Endocrinol, San Francisco, CA USA",Human Development and Family Studies
" Dept Civil Construct & Environm Engn, 813 Bissell Rd","Civil, Construction and Environmental Engineering "
" Dept Stat, 2438 Osborn Dr",Statistics
Information Systems and Business Analytics,Information Systems
Materials Science and Engineering,Materials Science and Engineering
U.S. Latino/a Studies Program,U.S. Latino/a Studies Program
Materials Science and Engineering,Materials Science and Engineering
 Coll Vet Med,College of Veterinary Medicine
Communications Studies,Communications Studies
Information Systems,Information Systems
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
Ivy College of Business,Ivy College of Business
Controller's Department,No Data
Business Analytics,Business Analytics
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
Immunobiology Program,Immunobiology Program
Information Systems,Information Systems
 Coll Liberal Arts & Sci,College of Liberal Arts and Sciences
 Dept Comp Sci,Computer Science
Controller's Department,No Data
"Ecology, Evolution & Organismal Biol-LAS","Ecology, Evolution, and Organismal Biology"
" Dept Anim Sci, 201F Kildee Hall",Animal Science
 Coll Vet Med,College of Veterinary Medicine
Ames Laboratory ,Ames Laboratory 
College of Veterinary Medicine,College of Veterinary Medicine
Bioinformatics & Computational Biology Graduate Program,Bioinformatics and Computational Biology
Materials Science and Engineering,Materials Science and Engineering
 Human Dev & Family Studies,Human Development and Family Studies
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Coll Vet, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
Ames Laboratory of US DOE,Ames Laboratory 
College of Veterinary Medicine,College of Veterinary Medicine
 Human Dev & Family Studies,Human Development and Family Studies
" Ames, IA USA; [Squire, Dian D.] Univ Denver, Interdisciplinary Res Inst Study In Equal, Denver, CO 80208 USA; [Squire, Dian D.] Univ Maryland, Orientat & New Student Programs, College Pk, MD 20742 USA",No Data
 US DOE,Ames Laboratory 
" Ames, IA USA; [de Carvalho, Giovane Franchesco] Ctr Univ Fundacao Assis Gurgacz FAG, Cascavel, Brazil; [Pase Montagnini, Karim Cristhine; Hamamura, Marcio; da Cunha, Olicies; Viott, Aline de Marco] Univ Fed Parana UFPR, Setor Palotina, Palotina, PR, Brazil",No Data
" Dept Mech Engn, 271 Appl Sci Complex 2",Mechanical Engineering
Agricultural Systems Technology,Agricultural Systems Technology
" North Carolina State Univ, US Army Corps Engineers, Engineer Res & Dev Ctr",No Data
" Dept Agr & Biosyst Engn, 1340 Elings Hall",Agricultural and Biosystems Engineering
 Dept Hlth & Human Performance,Health and Human Performance
Ames Laboratory ,Ames Laboratory 
" Dept Entomol, 2310 Pammel Dr,339 Sci Hall 2",Entomology
" Coll Agr & Life Sci, Dept Anim Sci",Animal Science
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
Ames Laboratory of US DOE,Ames Laboratory 
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Dept Ecol Evolut & Organismal Biol EEOB, Bessey Hall","Ecology, Evolution, and Organismal Biology"
" Genet & Genom Program, 2437 Pammel Dr","Genetics, Development, and Cell Biology"
 Ames Lab US DOE,Ames Laboratory 
" Egg Ind Ctr, Dept Anim Sci",Egg Industry Center
" Dept Agron, Agronomy Hall",Agronomy
" Coll Vet Med, Dept Vet Med Ctr, Lloyd Vet Med Ctr",Veterinary Medical Center
 Dept Elect & Comp Engn ECE,Electrical and Computer Engineering
 Dept Comp Sci,Computer Science
 Dept Econ,Economics
" Ames, IA USA; [Hien Q Ta] Int Univ, Sch Elect Engn, Ho Chi Minh City, Vietnam; [Hien Q Ta; Khuong Ho-Van] Vietnam Natl Univ Ho Chi Minh City, Ho Chi Minh City, Vietnam; [Quoc-Viet Pham] Pusan Natl Univ, Korean Southeast Ctr 4th Ind Revolut Leader Educ, Busan 46241, South Korea; [Khuong Ho-Van] Ho Chi Minh City Univ Technol HCMUT, 268 Ly Thuong Kiet St,Dist 10, Ho Chi Minh City, Vietnam",No Data
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
" Ivy Coll Business, 2167 Union Dr",Ivy College of Business
 Elect & Comp Engn Dept,Electrical and Computer Engineering
Materials Science and Engineering,Materials Science and Engineering
 US DOE,Ames Laboratory 
 Interdept Microbiol Grad Program,Interdepartmental Microbiology
 Dept Ind Design,Industrial Design
 Inst Transportat,Institute for Transportation
 Elect & Comp Engn Dept,Electrical and Computer Engineering
" Ames, IA USA; [Xie, Yu] Princeton Univ, Princeton, NJ 08544 USA; [Xie, Yu] Peking Univ, Beijing, Peoples R China",No Data
 Dept Comp Sci,Computer Science
" Dept Apparel Events & Hospitality Management, Coll Human Sci","Apparel, Events, and Hospitality Management"
" Ames, IA USA; [Moseley, Mason W.] West Virginia Univ, Morgantown, WV 26506 USA; [Cohen, Mollie J.] Univ Georgia, Athens, GA 30602 USA",No Data
 Dept Comp Sci,Computer Science
 Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
Ames Laboratory of US DOE,Ames Laboratory 
" Dept Ecol Evolut & Organismal Biol, 2200 Osborn Dr","Ecology, Evolution, and Organismal Biology"
 Prevent Sci Inst,Science Insitute
 Bioecon Inst,Bioeconomy Institute
Materials Science and Engineering,Materials Science and Engineering
" Seed Sci Ctr, Dept Plant Pathol & Microbiol",Seed Science Center
" Dept Kinesiol, Coll Human Sci",Kinesiology
" Ames, IA USA; [Zamora, Oscar] Univ Costa Rica, San Jose, Costa Rica",No Data
 Dept Human Dev & Family Studies,Human Development and Family Studies
" Dept Agron, Agron Hall",Agronomy
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
" Dept Vet Clin Sci, Coll Vet Med",Veterinary Clinical Sciences
 Dept Elect Comp Engn,Electrical and Computer Engineering
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
 Higher Educ & Student Affairs,Higher Education and Student Affairs
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
" Dept Management & Entrepreneurship, Debbie & Jerry Ivy Coll Business",Management and Entrepreneurship
 Dept Nat Resources Ecol & Management,Natural Resource Ecology and Management
" Dept Agron, 716 Farm House Ln",Agronomy
 Ivy Coll Business,Ivy College of Business
 Coll Vet Med,College of Veterinary Medicine
" Dept Polit Sci, Dept Stat",Political Science
Materials Science and Engineering,Materials Science and Engineering
" Ames, IA USA; [Maupin, Cynthia K.] Binghamton Univ, Binghamton, NY USA; Univ Georgia, Athens, GA 30602 USA",No Data
" Dept Agron, Agron Hall",Agronomy
 Food Sci & Human Nutr,Food Science & Human Nutrition
 Sch Mech Engn,Mechanical Engineering
" Mkt, Ivy Coll Business",Marketing
" Ames, IA USA; [Krishna, Kala] Penn State Univ, NBER, State Coll, PA USA; [Krishna, Kala] Penn State Univ, CES IFO, State Coll, PA USA; [Megalokonomou, Rigissa] Univ Queensland, Brisbane, Qld, Australia; [Megalokonomou, Rigissa] IZA, Brisbane, Qld, Australia; [Zhao, Yingyan] George Washington Univ, Washington, DC 20052 USA",No Data
" Ames, IA USA; [Liu, Yu] Univ Texas Rio Grande Valley, Edinburg, TX USA; [Ullah, Barkat] Morgan State Univ, Baltimore, MD 21239 USA; [Wei, Zuobao] Univ Texas El Paso, El Paso, TX 79968 USA; [Xu, Lixin Colin] World Bank, 1818 H St NW, Washington, DC 20433 USA",No Data
 Dept Biochem Biophys & Mol Biol,"Biochemistry, Biophysics and Molecular Biology"
 Ctr Study Violence,No Data
 Dept Comp Sci,Computer Science
 Dept Interior Design,Interior Design
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
 Ctr Crops Utilizat Res,Center For Crops Utilization
" Dept Nat Resource Ecol & Management, 2310 Pammel Dr,339 Sci Hall 2",Natural Resource Ecology and Management
 Dept Elect Engn,Electrical and Computer Engineering
" Dept Agron, 2104 Agron Hall",Agronomy
 Gen Informat Facil,"Genetics, Development, and Cell Biology"
